respID,qID,altID,uniqueTripID
1,1,1,1
1,1,2,2
1,1,3,3
1,2,1,4
1,2,2,5
1,2,3,6
1,3,1,7
1,3,2,8
1,3,3,9
1,4,1,10
1,4,2,11
1,4,3,12
1,5,1,13
1,5,2,14
1,5,3,15
1,6,1,16
1,6,2,17
1,6,3,18
1,7,1,19
1,7,2,20
1,7,3,21
1,8,1,22
1,8,2,23
1,8,3,24
2,1,1,25
2,1,2,26
2,1,3,27
2,2,1,28
2,2,2,29
2,2,3,30
2,3,1,31
2,3,2,32
2,3,3,33
2,4,1,34
2,4,2,35
2,4,3,36
2,5,1,37
2,5,2,38
2,5,3,39
2,6,1,40
2,6,2,41
2,6,3,25
2,7,1,42
2,7,2,43
2,7,3,44
2,8,1,45
2,8,2,27
2,8,3,46
3,1,1,47
3,1,2,48
3,1,3,49
3,2,1,50
3,2,2,51
3,2,3,52
3,3,1,53
3,3,2,54
3,3,3,55
3,4,1,56
3,4,2,57
3,4,3,58
3,5,1,59
3,5,2,60
3,5,3,61
3,6,1,47
3,6,2,8
3,6,3,62
3,7,1,63
3,7,2,64
3,7,3,65
3,8,1,66
3,8,2,67
3,8,3,68
4,1,1,69
4,1,2,70
4,1,3,71
4,2,1,72
4,2,2,73
4,2,3,74
4,3,1,75
4,3,2,76
4,3,3,77
4,4,1,78
4,4,2,79
4,4,3,80
4,5,1,59
4,5,2,81
4,5,3,82
4,6,1,83
4,6,2,47
4,6,3,84
4,7,1,85
4,7,2,86
4,7,3,87
4,8,1,88
4,8,2,89
4,8,3,90
5,1,1,91
5,1,2,92
5,1,3,93
5,2,1,94
5,2,2,95
5,2,3,39
5,3,1,96
5,3,2,97
5,3,3,98
5,4,1,86
5,4,2,99
5,4,3,100
5,5,1,101
5,5,2,102
5,5,3,103
5,6,1,51
5,6,2,20
5,6,3,104
5,7,1,105
5,7,2,62
5,7,3,106
5,8,1,107
5,8,2,108
5,8,3,109
6,1,1,110
6,1,2,111
6,1,3,112
6,2,1,113
6,2,2,114
6,2,3,115
6,3,1,54
6,3,2,116
6,3,3,117
6,4,1,28
