respID,qID,altID,uniqueTripID
1,1,1,1
1,1,2,2
1,1,3,3
1,2,1,4
1,2,2,5
1,2,3,6
1,3,1,7
1,3,2,8
1,3,3,9
1,4,1,10
1,4,2,11
1,4,3,12
1,5,1,13
1,5,2,14
1,5,3,15
1,6,1,16
1,6,2,17
1,6,3,18
1,7,1,19
1,7,2,20
1,7,3,21
1,8,1,22
1,8,2,23
1,8,3,24
2,1,1,25
2,1,2,26
2,1,3,27
2,2,1,28
2,2,2,29
2,2,3,30
2,3,1,31
2,3,2,32
2,3,3,33
2,4,1,34
2,4,2,35
2,4,3,36
2,5,1,37
2,5,2,38
2,5,3,39
2,6,1,40
2,6,2,41
2,6,3,42
2,7,1,43
2,7,2,44
2,7,3,45
2,8,1,46
2,8,2,47
2,8,3,48
3,1,1,49
3,1,2,50
3,1,3,51
3,2,1,52
3,2,2,53
3,2,3,54
3,3,1,55
3,3,2,41
3,3,3,56
3,4,1,57
3,4,2,58
3,4,3,59
3,5,1,60
3,5,2,61
3,5,3,62
3,6,1,63
3,6,2,64
3,6,3,65
3,7,1,66
3,7,2,67
3,7,3,68
3,8,1,69
3,8,2,70
3,8,3,71
4,1,1,72
4,1,2,73
4,1,3,74
4,2,1,75
4,2,2,76
4,2,3,77
4,3,1,78
4,3,2,79
4,3,3,80
4,4,1,81
4,4,2,82
4,4,3,83
4,5,1,84
4,5,2,85
4,5,3,86
4,6,1,87
4,6,2,88
4,6,3,89
4,7,1,90
4,7,2,91
4,7,3,92
4,8,1,93
4,8,2,94
4,8,3,95
5,1,1,96
5,1,2,80
5,1,3,97
5,2,1,98
5,2,2,99
5,2,3,100
5,3,1,101
5,3,2,102
5,3,3,103
5,4,1,104
5,4,2,105
5,4,3,106
5,5,1,48
5,5,2,107
5,5,3,108
5,6,1,109
5,6,2,110
5,6,3,111
5,7,1,112
5,7,2,47
5,7,3,113
5,8,1,114
5,8,2,115
5,8,3,116
6,1,1,117
6,1,2,118
6,1,3,119
6,2,1,120
6,2,2,121
6,2,3,91
6,3,1,106
6,3,2,122
6,3,3,123
6,4,1,124
